date,index,return,volatility,change_in_volatility,directionality
3/1/18,38,,,,
3/2/18,47,0.236842105,,,1
3/3/18,56,0.191489362,,,1
3/4/18,44,-0.214285714,,,0
3/5/18,55,0.25,,,1
3/6/18,59,0.072727273,,,1
3/7/18,37,-0.372881356,,,0
3/8/18,39,0.054054054,,,1
3/9/18,37,-0.051282051,,,0
3/10/18,39,0.054054054,,,1
3/11/18,40,0.025641026,,,1
3/12/18,41,0.025,,,1
3/13/18,41,0,,,
3/14/18,40,-0.024390244,,,0
3/15/18,32,-0.2,,,0
3/16/18,33,0.03125,,,1
3/17/18,31,-0.060606061,,,0
3/18/18,29,-0.064516129,,,0
3/19/18,29,0,,,
3/20/18,37,0.275862069,,,1
3/21/18,36,-0.027027027,,,0
3/22/18,36,0,,,
3/23/18,28,-0.222222222,,,0
3/24/18,32,0.142857143,,,1
3/25/18,30,-0.0625,,,0
3/26/18,31,0.033333333,,,1
3/27/18,24,-0.225806452,,,0
3/28/18,24,0,,,
3/29/18,18,-0.25,,,0
3/30/18,12,-0.333333333,,,0
3/31/18,16,0.333333333,0.174903738,,1
4/1/18,16,0,0.168476563,-0.036746927,
4/2/18,11,-0.3125,0.171691496,0.019082374,0
4/3/18,22,1,0.252622242,0.471373058,1
4/4/18,22,0,0.248280711,-0.01718586,
4/5/18,17,-0.227272727,0.251055745,0.011176999,0
4/6/18,19,0.117647059,0.242801818,-0.032876869,1
4/7/18,20,0.052631579,0.242791249,-4.35E-05,1
4/8/18,17,-0.15,0.244189291,0.005758205,0
4/9/18,21,0.235294118,0.247845814,0.014974133,1
4/10/18,18,-0.142857143,0.249238073,0.005617441,0
4/11/18,20,0.111111111,0.250052606,0.003268092,1
4/12/18,18,-0.1,0.250732132,0.002717532,0
4/13/18,23,0.277777778,0.255832506,0.020341923,1
4/14/18,23.75,0.032608696,0.252826291,-0.011750715,1
4/15/18,24.5,0.031578947,0.252827005,2.82E-06,1
4/16/18,25.25,0.030612245,0.252428196,-0.001577398,1
4/17/18,26,0.02970297,0.251944686,-0.001915435,1
4/18/18,24,-0.076923077,0.25256376,0.002457183,0
4/19/18,25,0.041666667,0.24793169,-0.018340201,1
4/20/18,26,0.04,0.247876175,-0.00022391,1
4/21/18,32,0.230769231,0.25100193,0.012610147,1
4/22/18,31,-0.03125,0.247004037,-0.01592774,0
4/23/18,28,-0.096774194,0.247023463,7.86E-05,0
4/24/18,29,0.035714286,0.246547842,-0.00192541,1
4/25/18,64,1.206896552,0.327930548,0.330088904,1
4/26/18,47,-0.265625,0.32921376,0.003913059,0
4/27/18,55,0.170212766,0.329598202,0.001167758,1
4/28/18,54,-0.018181818,0.324604969,-0.015149455,0
4/29/18,61,0.12962963,0.315443052,-0.02822482,1
4/30/18,59,-0.032786885,0.312756163,-0.008517826,0
5/1/18,56,-0.050847458,0.313326905,0.001824876,0
5/2/18,52,-0.071428571,0.306036053,-0.023269152,0
5/3/18,55,0.057692308,0.252401419,-0.175255933,1
5/4/18,56,0.018181818,0.252293429,-0.000427851,1
5/5/18,63,0.125,0.246946944,-0.021191534,1
5/6/18,67,0.063492063,0.246743667,-0.000823162,1
5/7/18,56,-0.164179104,0.250202568,0.014018198,0
5/8/18,62,0.107142857,0.247305151,-0.011580287,1
5/9/18,53,-0.14516129,0.247979733,0.002727732,0
5/10/18,63,0.188679245,0.246403868,-0.006354812,1
5/11/18,41,-0.349206349,0.257361727,0.044471131,0
5/12/18,44,0.073170732,0.255884898,-0.005738341,1
5/13/18,40,-0.090909091,0.253557041,-0.00909728,0
5/14/18,40,0,0.25366257,0.000416195,
5/15/18,40,0,0.253762344,0.000393332,
5/16/18,32,-0.2,0.25747556,0.014632652,0
5/17/18,31,-0.03125,0.257725072,0.000969071,0
5/18/18,37,0.193548387,0.258628697,0.00350616,1
5/19/18,31,-0.162162162,0.261188465,0.00989746,0
5/20/18,32,0.032258065,0.261183103,-2.05E-05,1
5/21/18,41,0.28125,0.262674505,0.005710179,1
5/22/18,30,-0.268292683,0.268164145,0.020899022,0
5/23/18,26,-0.133333333,0.268816706,0.002433439,0
5/24/18,27,0.038461538,0.268821543,1.80E-05,1
5/25/18,25,-0.074074074,0.149694873,-0.443144061,0
5/26/18,23,-0.08,0.142841187,-0.045784371,0
5/27/18,19,-0.173913043,0.141422849,-0.009929479,0
5/28/18,22,0.157894737,0.145297884,0.027400351,1
5/29/18,16,-0.272727273,0.149638733,0.029875511,0
5/30/18,38,1.375,0.297302554,0.986802137,1
5/31/18,25,-0.342105263,0.304196234,0.023187421,0
6/1/18,24,-0.04,0.303977626,-0.000718642,0
6/2/18,27,0.125,0.304618891,0.002109582,1
6/3/18,40,0.481481481,0.316639148,0.039459984,1
